Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
"41558-1","Mixels","Series 7",2016,"Mixadel",,63,3,4.99,5.99,,673419248815,"",1,3.1900,,
"41559-1","Mixels","Series 7",2016,"Paladum",,64,3,4.99,5.99,,673419248822,"",1,3.0000,,
"42001-1","Technic","",2013,"Mini Off-Roader",,100,7.99,12.99,14.99,5702014973015,,"",1,14.8000,5.3900,
"42002-1","Technic","",2013,"Hovercraft",,170,12.99,19.99,24.99,5702014973022,,"",1,27.4200,8.3200,
"42010-1","Technic","",2013,"Off-road Racer",,160,14.99,19.99,24.99,5702014975613,,"",1,30.2600,13.9700,
"42020-1","Technic","",2014,"Twin Rotor Helicopter",,145,7.99,12.99,14.99,5702015122481,673419210355,"",1,11.7100,5.3300,
"42021-1","Technic","",2014,"Snowmobile",,186,14.99,19.99,24.99,5702015122498,673419210362,"",2,13.2600,8.6000,
"42022-1","Technic","",2014,"Hot Rod",,414,29.99,39.99,49.99,5702015122504,673419210379,"",1,35.8600,25.0000,
"42026-1","Technic","",2014,"Black Champion Racer",,137,17.99,19.99,24.99,5702015122542,673419210416,"",1,26.1000,12.0000,
"42032-1","Technic","",2015,"Compact Tracked Loader",,252,14.99,19.99,24.99,5702015350037,673419230650,"",1,8.6400,9.6900,
"42033-1","Technic","",2015,"Record Breaker",,125,17.99,19.99,24.99,5702015350020,673419230247,"",1,10.0000,10.0000,
"42034-1","Technic","",2015,"Quad Bike",,148,17.99,19.99,24.99,5702015350013,673419230230,"",1,17.3800,11.7900,
